id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL122007,KAREN,65,988,1,3.6,2007-09-25 00:00:00,2007-09-29 06:00:00,10.0,-35.9
AL132007,LORENZO,70,990,1,1.5,2007-09-25 18:00:00,2007-09-28 18:00:00,21.8,-94.8
AL142007,MELISSA,35,1005,0,0.5,2007-09-28 06:00:00,2007-09-30 12:00:00,14.0,-25.8
AL152007,FIFTEEN,30,1011,-1,0.0,2007-10-11 12:00:00,2007-10-12 18:00:00,29.5,-52.6
AL162007,NOEL,70,980,1,5.6,2007-10-28 00:00:00,2007-11-02 18:00:00,15.7,-71.2
AL172007,OLGA,50,1003,0,1.3,2007-12-11 00:00:00,2007-12-12 18:00:00,18.4,-64.7
AL012008,ARTHUR,40,1004,0,0.8,2008-05-31 00:00:00,2008-06-01 18:00:00,17.5,-87.5
AL022008,BERTHA,110,952,3,28.4,2008-07-03 06:00:00,2008-07-20 06:00:00,12.7,-22.9
AL032008,CRISTOBAL,55,998,0,3.7,2008-07-19 00:00:00,2008-07-23 06:00:00,31.7,-79.8
AL042008,DOLLY,85,963,2,5.4,2008-07-20 12:00:00,2008-07-25 18:00:00,17.8,-83.6
AL052008,EDOUARD,55,996,0,1.7,2008-08-03 12:00:00,2008-08-06 00:00:00,28.1,-87.4
AL062008,FAY,60,986,0,7.3,2008-08-15 12:00:00,2008-08-27 00:00:00,18.4,-67.4
AL072008,GUSTAV,135,941,4,18.2,2008-08-25 00:00:00,2008-09-04 06:00:00,13.5,-67.4
AL082008,HANNA,75,977,1,10.4,2008-08-28 00:00:00,2008-09-07 00:00:00,19.4,-57.3
AL092008,IKE,125,935,4,39.2,2008-09-01 06:00:00,2008-09-14 06:00:00,17.2,-37.0
AL102008,JOSEPHINE,55,994,0,3.1,2008-09-02 00:00:00,2008-09-06 00:00:00,12.3,-21.9
AL112008,KYLE,75,984,1,5.4,2008-09-25 00:00:00,2008-09-29 00:00:00,21.5,-70.0
AL122008,LAURA,50,994,0,2.2,2008-09-29 06:00:00,2008-10-01 06:00:00,37.0,-47.0
AL132008,MARCO,55,998,0,1.3,2008-10-06 00:00:00,2008-10-07 18:00:00,18.5,-91.7
AL142008,NANA,35,1004,0,0.5,2008-10-12 06:00:00,2008-10-14 06:00:00,15.5,-36.6
AL152008,OMAR,115,958,4,9.0,2008-10-13 06:00:00,2008-10-18 06:00:00,15.4,-69.0
AL162008,SIXTEEN,25,1004,-1,0.0,2008-10-14 12:00:00,2008-10-15 18:00:00,15.5,-82.8
AL172008,PALOMA,125,944,4,9.2,2008-11-05 18:00:00,2008-11-09 18:00:00,13.7,-81.7
AL012009,ONE,30,1006,-1,0.0,2009-05-28 06:00:00,2009-05-29 18:00:00,36.1,-72.9
AL022009,ANA,35,1003,0,0.9,2009-08-11 06:00:00,2009-08-16 12:00:00,14.4,-27.9
AL032009,BILL,115,943,4,26.5,2009-08-15 06:00:00,2009-08-24 06:00:00,11.8,-32.0
AL042009,CLAUDETTE,50,1005,0,0.7,2009-08-16 06:00:00,2009-08-17 18:00:00,27.0,-83.4
AL052009,DANNY,50,1006,0,2.0,2009-08-26 09:00:00,2009-08-29 00:00:00,24.3,-69.6
AL062009,ERIKA,45,1004,0,1.3,2009-09-01 18:00:00,2009-09-03 18:00:00,16.7,-57.3
AL072009,FRED,105,958,3,9.9,2009-09-07 18:00:00,2009-09-12 12:00:00,11.8,-24.0
AL082009,EIGHT,30,1008,-1,0.0,2009-09-25 18:00:00,2009-09-26 18:00:00,16.1,-31.1
AL092009,GRACE,55,986,0,2.0,2009-10-04 06:00:00,2009-10-06 00:00:00,38.5,-29.5
